Timestamp	Text
---------	----
00:00.400	यदि आप एआई एजेंट्स बना रहे हैं, तो आपने शायद एमसीपी या मॉडल कॉन्टेक्स्ट प्रोटोकॉल के बारे में सुना होगा।
00:05.240	MCP आपके एजेंट्स को डेटाबेस या एपीआई जैसे डेटा स्रोतों से जोड़ने के लिए एक नया ओपन सोर्स मानक है।
00:11.679	MCP कई घटकों से मिलकर बना है।
00:13.939	सबसे महत्वपूर्ण हैं होस्ट, क्लाइंट, और सर्वर।
00:17.219	तो चलिए इसे तोड़ते हैं।
00:19.530	सबसे ऊपर आपके पास आपका एमसीपी होस्ट होगा।
00:22.570	आपका एमसीपी होस्ट एक एमसीपी क्लाइंट शामिल करेगा।
00:25.910	और इसमें कई ग्राहक भी शामिल हो सकते हैं।
00:28.370	MCP होस्ट एक एप्लिकेशन हो सकता है जैसे कि एक चैट ऐप।
00:33.630	यह आपके आईडीई में एक कोड सहायक भी हो सकता है, और भी बहुत कुछ।
00:38.520	MCP होस्ट एक MCP सर्वर से कनेक्ट होगा।
00:41.600	यह वास्तव में कई MCP सर्वरों से भी कनेक्ट हो सकता है।
00:48.799	इससे कोई फर्क नहीं पड़ता कि आप अपने MCP होस्ट या क्लाइंट से कितने MCP सर्वर कनेक्ट करते हैं।
00:53.189	MCP होस्ट और सर्वर MCP प्रोटोकॉल के माध्यम से एक-दूसरे से जुड़ेंगे।
00:57.630	MCP प्रोटोकॉल बीच में एक परिवहन परत है।
01:04.930	जब भी आपका MCP होस्ट या क्लाइंट किसी टूल की आवश्यकता होगी, यह MCP सर्वर से कनेक्ट करेगा।
01:09.290	फिर MCP सर्वर, उदाहरण के लिए, एक डेटाबेस से कनेक्ट होगा।
01:12.909	और इससे कोई फर्क नहीं पड़ता कि यह एक रिलेशनल डेटाबेस है या एक NoSQL डेटाबेस।
01:17.069	यह एपीआई से भी कनेक्ट हो सकता है।
01:20.500	और साथ ही एपीआई मानक वास्तव में मायने नहीं रखता।
01:23.120	अंत में, यह स्थानीय फ़ाइल प्रकार या शायद कोड जैसे डेटा स्रोतों से भी जुड़ सकता है।
01:30.590	यह विशेष रूप से उपयोगी होता है जब आप अपने आईडीई में कोड सहायक जैसी कोई चीज़ बना रहे होते हैं।
01:36.579	आइए देखें कि व्यवहार में MCP का उपयोग कैसे किया जाए।
01:40.120	हमारे पास अभी भी तीन घटक हैं।
01:41.599	हमारे पास हमारा एमसीपी होस्ट और क्लाइंट होगा,
01:46.019	बिल्कुल, हमारे पास एक बड़ा भाषा मॉडल भी है,
01:53.170	और अंत में, हमारे पास हमारे एमसीपी सर्वर हैं,
01:56.030	और ये कई MCP सर्वर हो सकते हैं या सिर्फ एक।
02:03.430	मान लेते हैं कि हमारा MCP क्लाइंट और होस्ट एक चैट ऐप है,
02:07.022	और आप एक प्रश्न पूछते हैं जैसे, किसी विशेष स्थान पर मौसम कैसा है या मेरे पास कितने ग्राहक हैं?
02:13.289	MCP होस्ट को MCP सर्वर से उपकरण पुनः प्राप्त करने की आवश्यकता होगी।
02:18.719	फिर MCP सर्वर निष्कर्ष निकालेगा और बताएगा कि कौन से उपकरण उपलब्ध हैं।
02:23.319	फिर आपको MCP होस्ट से बड़े भाषा मॉडल से कनेक्ट करना होगा।
02:26.633	और अपना प्रश्न और उपलब्ध उपकरण भेजें।
02:30.960	यदि सब कुछ ठीक है, तो LLM जवाब देगा और आपको बताएगा कि कौन से उपकरण का उपयोग करना है।
02:38.280	एक बार जब MCP होस्ट और क्लाइंट को पता चल जाता है कि कौन से उपकरणों का उपयोग करना है, तो उसे पता चल जाता है कि किन MCP सर्वरों को कॉल करना है।
02:43.599	इसलिए जब यह एक टूल परिणाम प्राप्त करने के लिए MCP सर्वर को कॉल करता है,
02:48.846	MCP सर्वर एक डेटाबेस, एक API, या एक स्थानीय कोड के टुकड़े में जाने वाली किसी चीज़ को निष्पादित करने के लिए जिम्मेदार होगा,
02:59.069	और निश्चित रूप से, MCP सर्वरों के लिए बाद में कॉल हो सकते हैं।
03:02.889	MCP सर्वर एक प्रतिक्रिया के साथ लागू होगा, जिसे आप LLM को वापस भेज सकते हैं।
03:07.849	और अंत में, आपको चैट एप्लिकेशन में पूछे गए प्रश्न के आधार पर अपना अंतिम उत्तर प्राप्त करने में सक्षम होना चाहिए।
03:15.060	यदि आप एजेंट्स बना रहे हैं, तो मैं वास्तव में आपको MCP प्रोटोकॉल देखने की सलाह दूंगा।
03:18.800	MCP प्रोटोकॉल एक नया मानक है जो आपको MCP सर्वर के माध्यम से अपने डेटा स्रोतों को किसी भी एजेंट से जोड़ने में मदद करेगा।
03:25.280	भले ही आप एजेंट्स नहीं बना रहे हों, आपका क्लाइंट एजेंट्स बना रहा हो सकता है।
03:29.439	और अगर आपको यह वीडियो पसंद आया हो, तो लाइक और सब्सक्राइब करना न भूलें।
